image_id,mine_row,comparison_row,iou,mine_class,comparison_class,class_agree
drive_022,1,2,0.804444,bus,van,False
drive_022,2,4,0.847009,car,car,True
drive_022,3,1,0.886167,car,car,True
drive_022,4,3,0.87298,car,car,True
drive_022,5,5,0.878293,truck,bus,False
drive_033,1,7,0.89744,car,car,True
drive_033,2,1,0.976321,bus,van,False
drive_033,3,2,0.851021,truck,bus,False
drive_033,4,3,0.872826,car,car,True
drive_033,5,4,0.758523,car,car,True
drive_033,6,8,0.93464,car,car,True
drive_033,7,12,0.937459,bus,van,False
drive_033,8,10,0.751525,car,car,True
drive_033,9,6,0.849838,car,car,True
drive_033,12,5,0.854218,car,car,True
drive_033,17,9,0.942012,car,car,True
drive_033,27,11,0.889757,car,car,True
drive_038,1,3,0.953129,car,car,True
drive_038,2,4,0.887656,car,car,True
drive_038,3,5,0.903842,van,bus,False
drive_038,8,17,0.926968,car,car,True
drive_038,9,16,0.896576,car,car,True
drive_038,10,15,0.916163,van,truck,False
drive_038,11,9,0.893745,truck,bus,False
drive_038,12,8,0.906522,car,car,True
drive_038,13,10,0.915326,car,car,True
drive_038,14,14,0.919439,car,car,True
drive_038,15,13,0.917872,car,car,True
drive_038,16,11,0.902837,car,car,True
drive_038,17,7,0.884021,car,car,True
drive_038,18,6,0.843671,car,car,True
drive_038,19,12,0.858358,car,car,True
drive_038,38,1,0.962734,car,car,True
drive_038,39,2,0.935822,car,car,True
drive_008,1,11,0.915569,car,car,True
drive_008,2,16,0.923824,car,car,True
drive_008,3,2,0.902047,car,car,True
drive_008,4,5,0.812787,van,truck,False
drive_008,5,6,0.94007,car,car,True
drive_008,6,3,0.92052,van,truck,False
drive_008,7,4,0.925052,car,car,True
drive_008,8,12,0.920722,van,truck,False
drive_008,9,9,0.982361,bus,van,False
drive_008,10,1,0.803679,truck,bus,False
drive_008,14,7,0.901794,car,car,True
drive_008,15,13,0.651582,car,car,True
drive_008,16,14,0.859213,car,car,True
drive_008,17,15,0.143673,car,car,True
